p Value,Horners Method Evaluation,p Value,Preprocessed Coefficients Method Evaluation
2.4,1631.0638463999996,2.4,1631.0638463999999
2.6,2578.9209216000004,2.6,2578.9209216000013
2.8,3979.4508671999993,2.8,3979.4508671999984
3.0,6003.0,3.0,6003.0
3.2,8867.969932800002,3.2,8867.969932800006
3.4,12850.2854784,3.4,12850.285478399997
3.6,18294.0145536,3.6,18294.0145536
3.8,25623.204595199993,3.8,25623.204595199997
4.0,35355.0,4.0,35355.0
4.2,48114.105100800014,4.2,48114.10510079999
4.4,64648.65719040004,4.4,64648.65719040003
4.6,85847.57410559995,4.6,85847.57410559995
4.8,112759.44088319998,4.8,112759.44088319999
5.0,146613.0,5.0,146613.0
5.2,188839.30970880008,5.2,188839.30970880008
5.4,241095.63498240014,5.4,241095.6349824001
5.6,305291.1355775999,5.6,305291.1355775999
5.8,383614.4157312,5.8,383614.4157312
6.0,478563.0,6.0,478563.0
6.2,592974.7997568,6.2,592974.7997568002
6.4,730061.6348544002,6.4,730061.6348544003
6.6,893444.8749695997,6.6,893444.8749695998
6.8,1087193.2651391998,6.8,1087193.2651391998
7.0,1315863.0,7.0,1315863.0
7.2,1584540.1112448003,7.2,1584540.1112448005
7.4,1898885.2328064004,7.4,1898885.2328064004
7.6,2265180.8082815995,7.6,2265180.8082815995
7.8,2690380.8051072005,7.8,2690380.8051071996
8.0,3182163.0,8.0,3182163.0
8.2,3748983.9001727984,8.2,3748983.900172799
8.4,4400136.364838401,8.4,4400136.364838401
8.6,5145809.991513599,8.6,5145809.9915136
8.8,5997154.331635203,8.8,5997154.331635203
9.0,6966345.0,9.0,6966345.0
9.2,8066652.742540798,9.2,8066652.742540796
9.4,9312515.526950402,9.4,9312515.526950406
9.6,1.0719613720665598E7,9.6,1.0719613720665598E7
9.8,1.2304948420723204E7,9.8,1.2304948420723207E7
10.0,1.4086923E7,10.0,1.4086923E7
10.2,1.6085427934348792E7,10.2,1.6085427934348796E7
10.4,1.8321928975142404E7,10.4,1.832192897514241E7
10.6,2.0819558731737595E7,10.6,2.0819558731737595E7
10.8,2.3603211728371214E7,10.8,2.360321172837121E7
11.0,2.6699643E7,11.0,2.6699643E7
11.2,3.0137570291596785E7,11.2,3.0137570291596785E7
11.4,3.3947779925414406E7,11.4,3.394777992541441E7
11.6,3.816323640072959E7,11.6,3.81632364007296E7
11.8,4.281919579057923E7,11.8,4.2819195790579215E7
12.0,4.7953323E7,12.0,4.7953323E7
12.2,5.360581295028478E7,12.2,5.3605812950284764E7
12.4,5.981951575376641E7,12.4,5.9819515753766425E7
12.6,6.6640065943641596E7,12.6,6.6640065943641596E7
12.8,7.411601582334723E7,12.8,7.411601582334724E7
13.0,8.2298973E7,13.0,8.2298973E7
13.2,9.124374216641279E7,13.2,9.124374216641277E7
13.4,1.0100847119619839E8,13.4,1.0100847119619842E8
13.6,1.116548016164736E8,13.6,1.1165480161647357E8
13.8,1.2324802352267523E8,13.8,1.2324802352267526E8
14.0,1.35857235E8,14.0,1.35857235E8
14.2,1.4955550611598077E8,14.2,1.4955550611598074E8
14.4,1.644200475487104E8,14.4,1.6442004754871044E8
14.6,1.8053238391522557E8,14.6,1.805323839152256E8
14.8,1.9797853186456323E8,14.8,1.979785318645633E8
15.0,2.16849183E8,15.0,2.16849183E8
15.2,2.3723989169498876E8,15.2,2.3723989169498876E8
