0,Number of Comparisions,,,
262,17503,,262,68644
263,17551,,263,69169
264,18179,,264,69696
265,17308,,265,70225
266,17620,,266,70756
267,18878,,267,71289
268,17576,,268,71824
269,18958,,269,72361
270,19029,,270,72900
271,18068,,271,73441
272,18323,,272,73984
273,18783,,273,74529
274,17775,,274,75076
275,19808,,275,75625
276,20328,,276,76176
277,19894,,277,76729
278,19577,,278,77284
279,17130,,279,77841
280,20269,,280,78400
281,19330,,281,78961
282,21666,,282,79524
283,20036,,283,80089
284,20909,,284,80656
285,20404,,285,81225
286,19876,,286,81796
287,20560,,287,82369
288,20596,,288,82944
289,20412,,289,83521
290,22359,,290,84100
291,22195,,291,84681
292,22463,,292,85264
293,21828,,293,85849
294,23023,,294,86436
295,22111,,295,87025
296,22062,,296,87616
297,22529,,297,88209
298,21953,,298,88804
299,22046,,299,89401
300,23597,,300,90000
301,23808,,301,90601
302,23072,,302,91204
303,22371,,303,91809
304,22778,,304,92416
305,24088,,305,93025
306,22077,,306,93636
307,24574,,307,94249
308,22452,,308,94864
309,24996,,309,95481
310,24529,,310,96100
311,22577,,311,96721
312,23661,,312,97344
313,23818,,313,97969
314,24882,,314,98596
315,25614,,315,99225
316,24483,,316,99856
317,26649,,317,100489
318,24975,,318,101124
319,26861,,319,101761
320,26699,,320,102400
321,26608,,321,103041
322,27315,,322,103684
323,25320,,323,104329
324,26214,,324,104976
325,26378,,325,105625
326,28090,,326,106276
327,25695,,327,106929
328,25445,,328,107584
329,26990,,329,108241
330,27789,,330,108900
331,28048,,331,109561
332,27711,,332,110224
333,26676,,333,110889
334,27779,,334,111556
335,28261,,335,112225
336,28510,,336,112896
337,28978,,337,113569
338,28956,,338,114244
339,29931,,339,114921
340,29393,,340,115600
341,28631,,341,116281
342,29115,,342,116964
343,29652,,343,117649
344,28686,,344,118336
345,31366,,345,119025
346,28257,,346,119716
347,29349,,347,120409
348,31375,,348,121104
349,31359,,349,121801
350,31868,,350,122500
351,31636,,351,123201
352,31458,,352,123904
353,32323,,353,124609
354,33389,,354,125316
355,31416,,355,126025
356,31154,,356,126736
357,31829,,357,127449
358,33204,,358,128164
359,32256,,359,128881
360,32053,,360,129600
361,33807,,361,130321
362,33244,,362,131044
363,33723,,363,131769
364,33261,,364,132496
365,34150,,365,133225
366,33832,,366,133956
367,33838,,367,134689
368,31011,,368,135424
369,34746,,369,136161
370,36196,,370,136900
371,36069,,371,137641
372,35544,,372,138384
373,33397,,373,139129
374,36552,,374,139876
375,33740,,375,140625
376,36062,,376,141376
377,34493,,377,142129
378,35061,,378,142884
379,35895,,379,143641
380,34856,,380,144400
381,36929,,381,145161
382,37406,,382,145924
383,36512,,383,146689
384,38107,,384,147456
385,36827,,385,148225
386,36867,,386,148996
387,36794,,387,149769
388,37921,,388,150544
389,38153,,389,151321
390,35341,,390,152100
391,38828,,391,152881
392,37231,,392,153664
393,36988,,393,154449
394,39272,,394,155236
395,39112,,395,156025
396,39408,,396,156816
397,41955,,397,157609
398,38364,,398,158404
399,41556,,399,159201
400,42510,,400,160000
401,41432,,401,160801
402,40912,,402,161604
403,40351,,403,162409
404,43250,,404,163216
405,39540,,405,164025
406,42885,,406,164836
407,43409,,407,165649
408,44602,,408,166464
409,42819,,409,167281
